aboard|type|cn / ln|date|fatalities|flight #|ground|location|operator|registration|route|summary|time
19   (passengers:16  crew:3)|Beechcraft 1900D|UE-295|September 25, 2011|19   (passengers:16  crew:3)|?|0|Near Kathmandu, Nepal|Buddha Air|9N-AEK|Sightseeing|The sightseeing flight of Mt. Everest struck terrain while on approach to Kathmandu-Tribhuvan Airport. One passenger survived the accident but died on the way to the hospital.|0731
18   (passengers:14  crew:4)|CASA NC-212 Aviocar 200|?|September 29, 2011|18   (passengers:14  crew:4)|?|0|Near Bohorok, Indonesia|Nusantara Buana Air|PK-TLF|Medan - Kutacane|Contact with the plane was lost 10 minutes after taking off from Medan. Wreckage was located near Bohorok, on the slope of a mountain 6,100 feet high. VFR flight into IMC conditions. Lack of crew coordination.|0738
32   (passengers:28  crew:4)|de Havilland Canada DHC-8-102|125|October 13, 2011|28   (passengers:26  crew:2)|1600|0|Near Madang, Papua New Guinea|Airline PNG|P2-MCJ|Lae - Madang|While on approach to Madang, the plane crashed into dense forest near the Gogol River, 20 km south of Madang. The two pilots and two pasengers survived the accident. Overspeeding of both propellers. The plane had to be manually flown because the aircraft's yaw damper was unserviceable. Neither pilot noticed the aircraft's speed increasing to its maximum operating speed. The pilot-in-command pulled the power levels of the plane 'quite quickly'. Moments later both propellers over-sped simultaneously. The over-speeding propellers back-drove the turbines in the engines (instead of the engine turbines driving the propellers) and this caused severe damage to the left engine.After the emergency began, the first officer quickly identified the double propeller over-speed. At about the same time, smoke appeared in the cockpit and various aircraft system malfunction alerts activated. The crew did not respond to any of these alerts by implementing the emergency procedures detailed in company manuals and the quick reference handbook.|1700
9   (passengers:7  crew:2)|Beechcraft 100 King Air|B-36|October 27, 2011|1   (passengers:0  crew:1)|?|0|Vancouver, BC, Canada|Northern Thunderbird Air Inc.|C-GXRX|Vancouver - Kelowna|After taking off, the pilot reported problems with the aircraft and began returning to the airport. The plane crashed 900 meters short of Runway 26L. The plane took off even though the passengers reported an oil leak under one of the wings to the crew. Shortly after taking off the captain reported he was returning to the airport due to an oil problem.|0412
5   (passengers:4  crew:1)|Eurocopter EC-130 B4|4909|November 10, 2011|5   (passengers:4  crew:1)|?|0|Near Kilohana, Molokai, Hawaii|Blue Hawaiian Helicopter|N11QV|Sightseeing|The sightseeing helicopter, on a tourist excursion of West Maui and Molokai, slammed into a mountainside and burst into flames while flying in heavy rain and winds. The pilot's failure to maintain clearance from mountainous terrain while operating in marginal weather conditions which resulted in impact of the horizontal stabilizer and lower forward portion of the Fenestron with he ground and or vegetation.|1214
8   (passengers:7  crew:1)|Aerospatiale AS 332L1 Super Puma|2127|November 11, 2011|8   (passengers:7  crew:1)|?|0|Near Santa Catarina Atoyzingo, Mexico|Fuerza Aerea Mexicana|XC-UHM|Campo Militar Marte - Ciudad de Cuernavaca, Morelos|The Mexican presidential helicopter crashed into the side of a hill in low clouds, at a height of 2,600 meters. The helicopter carried the Secretary of the Interior, José Francisco Blake Mora and other government officials.|0855
5   (passengers:4  crew:1)|Aerospatiale AS-350 B2 Ecureuil|2300|December 07, 2011|5   (passengers:4  crew:1)|?|0|Near Henderson, Nevada|Sundance Helicopters Inc.|N37SH|Sightseeing|The touring helicopter on a sightseeing flight of the Las Vegas Strip and Hoover Dam, crashed into a mountainside between Lake Mead and Henderson.say Critical steering hardware was disconnected, and the bolt and other tiny parts that should have secured it weren't found on the scene. Records show the mechanism was overhauled the day before but passed multiple inspections on the day of the crash. Inadequate maintenance of the helicopter, including the improper reuse of a degraded self-locking nut, the improper or lack of installation of a split pin and inadequate post maintenance inspections which resulted in the in-flight separation of the servo control input rod from the fore/aft servo and rendering the helicopter uncontrollable.|1645
3   (passengers:2  crew:1)|Bell 206B|2636|December 26, 2011|3   (passengers:2  crew:1)|?|0|Green Grove, Florida|?|N5016M|Jacksonville, FL - Gainsville, FL|The on-demand air taxi was on a flight to procure an organ for transplantation when it crashed in a wooded area near the Jacksonville Sheriff's Department Aviation Unit. The helicopter was at a height of 30 feet when it struck a 50 ft. tree.|0554
5   (passengers:3  crew:3)|Antonov AN-28|1AJ006-11|January 30, 2012|3   (passengers:1  crew:2)|?|0|Namoya, Congo|TRACEP Congo Aviation|9Q-CUN|Bukavu - Namoya|The cargo plane was on approach to land when it crashed in a forest 10km from Namoya.  The airworthiness of this aircraft had expired on June 12, 1993.|0845
2   (passengers:0  crew:2)|Convair CV-340|117|March 15, 2012|2   (passengers:0  crew:2)|?|0|Near San Juan, Puerto Rico|Jet One Express|N153JR|San Juan - Saint Croix|The cargo plane just took off and was carrying 2,500 lbs of bread when the pilot radioed he was having engine trouble and returning to the airport. The plane crashed in the Torrecilla Lagoon, killing both pilots.|0715
12   (passengers:?  crew:?)|Sikorsky S-70A-28|?|March 16, 2012|12   (passengers:?  crew:?)|?|4|Kabul, Afghanistan|Military - Turkish Army (NATO)|10981|?|The helicopter crashed on the outskirts of Kabul in the Bagrami District. It appeared the plane was trying to make an emergency landing when it crashed into houses killing four people on the ground.|1045
43   (passengers:39  crew:4)|ATR 72-201|332|April 02, 2012|33   (passengers:29  crew:4)|120|0|Tyumen, Russia|UTAir|VP-BYZ|Tyurmen - Surgut|After taking off, the plane lost height during the initial climb and crash landed in a snowy field, 1.5 miles past the end of the runway. The impact split the plane into three pieces. Icing. The plane was not deiced before taking off.|0744
127   (passengers:121  crew:6)|Boeing 737-236|23167/1074|April 20, 2012|127   (passengers:121  crew:6)|213|0|Islamabad, Pakistan|Bhoja Airlines|AP-BKC|Karachi - Islamabad|While attempting to land, the plane impacted terrain about 5 km short of and slightly left of the extended runway center line of Islamabad's runway 30. The plane completely broke up, burst into flamesand came to rest in Hussain Abad Village. The crew were trained to fly the Boeing 737-200 but not the more advanced 737-236 which features an automated flight deck. The aircraft accident took place as a result of combination of various factors which directly and indirectly contributed towards the causation of accident.The primary causes of accident include, ineffective management of the basic flight parameters such as airspeed, altitude, descent rate attitude, as well as Page 75 of 78 thrust management. The contributory factors include the crew’s decision to continue the flight through significant changing winds associated with the prevailing weather conditions and the lack of experience of the crew to the airplane’s automated flight deck|1840
13   (passengers:11  crew:2)|Bell 212|31272|April 30, 2012|13   (passengers:11  crew:2)|?|0|Sabanagrande, Colombia|Military -Fuerza Aerea Colombiana|FAC 4020|Barranquilla - Caucasia|The helicopter caught fire and crashed while en route.|1630
45   (passengers:39  crew:6)|Sukhoi Superjet 100-95|95004|May 09, 2012|45   (passengers:39  crew:6)|36801|0|Near Cidahu, Indonesia|Sukhoi|RA-97004|Demonstration flight|The Russian jet crashed on the slopes of Mount Salak at an elevation of 5,200 ft. The airliner was conducting a demonstration flight to prospective customers. The last radio contact with the flight was at 15:30 when the crew requested a descent from 10,000ft to 6,000ft. Soon after requesting a turn, they flew into the mountain. All 37passengers, 6 crew and 2 Sukhoi officials were killed. Pilot error. The TAWS had sent a 'terrain ahead' warning , followed by six 'avoid terrain' warnings before the crash. The pilot in command switched the TAWS off, assuming there was a database problem. In addition, the flight crew were distracted by a customer in the cockpit and failed to complete a planned turn. Due to inadequate maps, briefing, and low clouds, the crew did not know there were mountains in the area.|1530
21   (passengers:18  crew:3)|Dornier 228-212|8216|May 14, 2012|15   (passengers:13  crew:2)|?|0|Jomsom, Nepal|Agni Air|9N-AIG|Pokhara - Jomsom|The plane was attempting to land and went around on final approach to Runway 06. The aircraft joined a left downwind when a wing contacted a hilltop about 900 feet north of the airport.The flight attendant and 5 passengers survived the accident.|0915
4   (passengers:0  crew:4)|Boeing B-727-200|22540/1796|June 02, 2012|0   (passengers:0  crew:4)|111|12|Accra, Ghana|Allied Air|5N-BJN|Lagos, Nigerai - Accra, Ghana|While on approach to Runway 21 at Kotika International Airport, the cargo plane overran the runway, broke through the perimeter fence, went across a main road and collided with a bus.|1530
153   (passengers:146  crew:7)|McDonnell Douglas MD-83|53019/1783|June 03, 2012|153   (passengers:146  crew:7)|992|10|Lagos, Nigeria|Dana Air|5N-RAM|Abuja - Lagos|The plane was about 11 miles from Lagos VOR when the crew declared an emergency reporting engine problems. The plane collided with a power line and crashed into the Iju/Ishaga area of Lagos, 1 mile adjacent to the runway. Double engine failure. Likely  the crew's failure to properly monitor fuel flow and turn on proper fuel pumps.|1645
14   (passengers:12  crew:2)|Sikorsly S-58ET|581672|June 06, 2012|14   (passengers:12  crew:2)|?|0|Hualla Hualla, Mount Mamarosa, Peru|HeliCusco|OB-1840-P|Mazuco - Cusco|The helicopter was flying back to Cusco after conducting aerial surveillance on a possible site for a hydroelectric project near Puno, in southern Peru when it hit the side of a cliff.|?
13   (passengers:12  crew:1)|Antonov An-2R|1G221-48|June 11, 2012|13   (passengers:12  crew:1)|?|0|Near Serov, Russia|Illegal flight|RA-40312|?|The plane disappeared after being taken on an illegal flight. A group of people were having a party at the airfield near the city of Serov, Russia. They  managed to illegally steal an An-2 plane parked at the airfield. The plane went missing and was found on April 4, 2013, 8 km from Serov. Among those killed were the Chief of Serov city police, three police inspectors, the guard of the airport, a private company guard, a pensionist, a young unemployed man and a local mobile shop owner. The pilot was intoxicated at the time of the accident.|?
7   (passengers:0  crew:7)|Fokker F-27 Friendship 400M|10546|June 21, 2012|7   (passengers:0  crew:7)|?|4|Jakarta, Indonesia|Military - Indonesian Air Force|A-2708|Training flight|The plane was attempting to land on runway 18 during a training exercise when it crashed about 1 mile from the runway into houses in the Rajawali housing complex.|1445
4   (passengers:2  crew:2)|PA-34-200 Seneca I|34-7350051|August 18, 2012|3   (passengers:2  crew:1)|?|0|Off Masbate Island, Philippines|Aviatour's Fly'n Inc.|RP-C4431|Cebu-Naga|While en route, the crew of the chartered flight radioed they were making an emergency landing at Masbate Airport due to engine problems. The airplane then crashed into the sea and broke apart off the shores of Masbate Island some 980 ft away from the island's airport. An investigation found that improper maintenance led to the right engine suffering an internal failure, which likely would have caused misfiring and intermittent operation of the fuel pump. The failure was gradual and the aircraft developed engine problems 23 minutes after take off. However, instead of turning back to Cebu, the pilot decided to continue the flight, until the engine failed completely, 37 minutes later and the aircraft crashed during the subsequent attempt to land at Masbate. The investigation determined that the pilot didn't use the correct procedure for trying to land a Piper Seneca with one engine inoperative, in that he lowered the undercarriage and flaps too soon; and that during his last flight proficiency test he had not been tested with respect to flying with one engine inoperative.|1625
32   (passengers:26  crew:6)|Antonov An-26-100|2606|August 19, 2012|32   (passengers:26  crew:6)|?|0|Talodi, Sudan|Alfa Airlines|ST-ARL|Khartoum - Talodi|After an aborted landing, the plane flew into a slope of the Nuba mountains while on approach and attempting to land at Talodi air strip. There was a dust storm in the area at the time. All 26 passengers and crew of 6 were killed including 2 Sudanese ministers.|0800
14   (passengers:12  crew:2)|Antonov An-28|25-1AJ006|September 12, 2012|10   (passengers:8  crew:2)|261|0|Near Palana, Russia|Petropavlovsk-Kamchatsky Air Enteprise|RA-28715|Petropavlovsk-Kamchatsky - Palana|Crashed in a cedar forest, 6 miles from Palana Airport while on approach. There were heavy storm clouds and poor weather at the time of the accident. Both pilots were found to be intoxicated.|1228
19   (passengers:16  crew:3)|Dornier 228-202|8123|September 28, 2012|19   (passengers:16  crew:3)|?|0|Kathmandu, Nepal|Sita Air|9N-AHA|?|The plane crash landed on the bank of the Manohara River minutes after taking off from Trinbhuvan Airport. Some witnesses reported seeing the front of the plane on fire before it crashed. Overloading and the lack of performance in the climb phase due to loss of engine power led to a stall.|0615
22   (passengers:16  crew:6)|Antonov An-12BP|402010|October 07, 2012|15   (passengers:?  crew:?)|?|0|Near Omdurman, Sudan|Military - Sudanese Air Force|ST-ASA|?|The transport, carrying military personnel and equipment, crashed 25 miles southwest of Omdurman after experiencing engine trouble. The captain reported that both engines stopped working prior to the crash.|1200
4   (passengers:3  crew:1)|Britten-Norman BN-2A-26 Islander|082|October 07, 2012|3   (passengers:2  crew:1)|107|0|Antigua|Fly Montserrat|VP-MO|Antigua - Montserrat|The small airliner took off from Runway 7 at V.C. Bird International Airport, lost height immediately after becoming airborne and crashed to the ground, nose first. There was heavy rains and lightning at the time of the accident.|1616
10   (passengers:0  crew:10)|Antonov An-26|?|November 21, 2012|10   (passengers:0  crew:10)|?|0|San'a, Yemen|Military - Yemen Air Force|420|Training|The military transport crashed into the abandoned Al-Hasaba marketplace about 6 miles from Sanaa International Airport, shortly after taking off from runway 18. The crew was trying to make an emergency landing after an engine failed.|?
7   (passengers:0  crew:7)|Ilysushin Il-76T|083410300|November 30, 2012|7   (passengers:0  crew:7)|?|25|Near Brazzaville, Congo|Aero Service|EK-76300|Pointe Noire - Brazzaville|The cargo plane crashed into a dozen houses in the Mselou district in Bazzaville while attempting to land at the local airport. The plane caught on fire and came to rest in a ravine. There was heavy rain and thunderstorms in the area at the time of the accident.|1750
11   (passengers:5  crew:6)|Douglas C47-TP|13866/25311|December 05, 2012|11   (passengers:5  crew:6)|?|0|Near Ladysmith, South Africa|Military - South African Air Force|6840|Pretoria - Mthatha Airport|The military transport went missing while en route. The wreckage was found in the Drakensberg mountains near Ladysmith in KwaZulu-Natal province, some 210 miles southeast of Waterkloof Air Force Base. There was severe weather at the time of the accident.|0945
7   (passengers:5  crew:2)|Learjet 25|25-046|December 09, 2012|7   (passengers:5  crew:2)|?|0|Near Iturbide, Mexico|Starwood Management LLC|N345MC|Monterey, Mexico - Toluca, Mexico|The charter jet crashed about 60 miles from Monterey Mexico, about ten minutes after taking off. The plane plunged almost vertically from more than 28,000 feet and hit the ground in a nose-dive at a speed that may have exceeded 600 mph. Mexican-American singerJenni Rivera 43, her publicist and make-up artist were among the dead. She had just finished giving a concert in Monterey and was en route to Toluca to tape a Mexican TV show. A sudden and abrupt lack of control during ascent that provoked a sheer vertical drop of the plane that could have been triggered by a problem with the plane’s horizontal stabilizer. The plane was over 43 years old. The pilot, 78 was authorized to only fly as copilot. The copilot was not authroized to fly out of the United States. The copilot was not authorized to fly IFR which the plane was doing at the time of the accident.|0330
27   (passengers:20  crew:7)|Antonov AN-72-100D|36576092859|December 25, 2012|27   (passengers:20  crew:7)|?|0|Near Shymkent, Kazakhstan|Military - Kazakhstan Border Guards|UN-72859|Astana - Shymkent|The military transport crashed 12 miles from the Shymket Airport while making a descent to land, in heavy winds and snow.The fatalities included a crew of seven and 20 border guards, including the acting head of the ex-Soviet nation's border protection service, Col. Turganbek Stambekov|1855
71   (passengers:65  crew:6)|Fokker 100|11327|December 25, 2012|1   (passengers:0  crew:1)|W9-011|1|Heho, Myanmar|Air Bagan|XY-AGC|Mandalay - Heho|The passenger plane crash in a field two miles from Heho Airport and caught fire, after attempting to land in foggy weather. A tour guide and an 11-year-old child on board the plane, and a man riding a motorcycle on the ground were killed. Eleven others were injured.|0850
8   (passengers:0  crew:8)|Tupolev TU-204-100V|1450744864047|December 29, 2012|5   (passengers:0  crew:5)|9268|0|Moscow, Russia|Red Wings Airlines|RA-64047|Pardubice, Czech Republic - Moscow, Russia|While attempting to land on a snow covered runway and heavy cross winds the plane overran the runway, penetrated the perimeter fence and collided with a highway embankment. The aircraft broke in three. The plane's impact with the highway embankment sent the severed nose sliding over the icy road while the rest of the jet rested just past the airport's fence - its tail linked to the rest of the body by only a tangle of wreckage. There were no passengers on board.|1633
3   (passengers:2  crew:1)|Bell 407|53959|January 02, 2013|3   (passengers:2  crew:1)|?|0|Near Clear Lake, Iowa|Med-Trans Corporaion|N445MT|Mercy Hospital - Palo Alto Couonty Hospital|The air ambulance crashed and burned north of Ventura near Clear Lake Iowa in ice, haze and misty conditons.|2057
6   (passengers:5  crew:1)|Britten Norman BN-2A-27 Islander|20|January 04, 2013|6   (passengers:5  crew:1)|?|0|Off Los Roques, Venezuela|Transaereo 5074|YV-2615|Los Roques - Caracas|The flight disappeared while en route from Los Roques island to Caracas. When the plane was approximately 11 miles from Los Roques Airport, radar showed it began rapidly losing altitude and speed. It is presumed to have crashed in the ocean. The son of Italian designer Ottavio Missoni was among those onboard.|1140
21   (passengers:16  crew:5)|Canadair CRJ-200ER|7431|January 29, 2013|21   (passengers:16  crew:5)|760|0|Near Kyzyltu, Kazakhstan|SCAT Air|UP-CJ006|Kokshetau - Almaty, Kazakhstan|The jet crashed in heavy fog outside of Almaty while attempting to land at Almaty Airport for a second time. The aircraft was found in swampy terrain about 1 mile short of the runway threshold.|1313
45   (passengers:41  crew:4)|Antonov AN-24RV|37308709|February 13, 2013|5   (passengers:5  crew:0)|8971|0|Donetsk, Ukraine|South Airlines|UR-WRA|Odessa - Donetsk|While attempting to land on runway 8 in dense fog, the plane overran the runway , overturned and caught fire. The airplane operated as a charter flight carrying football fans on their way to a match of Shakhtar Donetsk against Borussia Dortmund. Pilot error.  A loss of speed by the aircraft during thelanding approach due to an error of the unprepared crew. The crew had no clearance to land given the weather conditions.|1809
10   (passengers:4  crew:6)|Fokker 50|20270|March 04, 2013|7   (passengers:1  crew:6)|?|0|Goma, Congo|Compagnie Africaine d' Aviation (CAA)|9Q-CBD|Lodja - Goma|The aircraft crashed short of the runway while attempting to land in heavy rain at Goma Airport crashing into the back yards of several houses in the Lake Kivu area.|1755
2   (passengers:0  crew:2)|Beechcraft 1900C|UC-17|March 08, 2013|2   (passengers:0  crew:2)|51|0|Near Dillingham, Alaska|Ace Air Cargo|N116AX|King Salmon - Dillingham|The cargo plane crashed about 20 miles northeast of Dillingham while on approach to Dillingham Airport. Wreckage was discovered on Saturday with the pilot and copilot fatally injured. The aircraft was badly fragmented in three sections. The flight crew's failure to maintain terrain clearance, which resulted in controlled flight into terrain in instrument meteorological conditions. Contributing to the accident were the flight crew's failure to correctly read back and interpret clearance altitudes issued by the air traffic controller, their failure to adhere to minimum altitudes depicted on the published instrument approach chart, and their failure to adhere to company checklists. Also contributing to the accident were the air traffic controller's issuance of an ambiguous clearance to the flight crew, which resulted in the airplane's premature descent, his failure to address the pilot's incorrect read back of the assigned clearance altitudes, and his failure to monitor the flight and address the altitude violations and issue terrain-based safety alerts.|0815
108   (passengers:101  crew:7)|Boeing B-737-8GP|38728/4350|April 13, 2013|0   (passengers:0  crew:0)|904|0|Denpasar, Indonesia|Lion Air|PK-LKS|Bandung - Denpasar|The airliner came down in the ocean, 150 feet short of the runway, while on final approach to Denpasar-Ngurah Rai Bali International Airport. All 101 passengers and crew of 7 survived. Forty-five people were injured.|1535
7   (passengers:0  crew:7)|Boeing B-747-428BCF|25630/960|April 29, 2013|7   (passengers:0  crew:7)|102|0|Bagram Air Base, Afghanistan|National Air Cargo|N949CA|Bagram - Dubai Al Maktoum|The civilian cargo plane crashed and burned shortly after taking off from runway 03 at Bagram Air Base. The plane was carrying 5 armored vehicles. The airline's cargo operations manual did not explain how to account for the orientation of the tiedown straps when calculating how many were needed, and the inexperienced and uncertified loadmaster used too few straps. When the plane began climbing, the rearmost vehicle, weighing 28,000pounds, broke free and smashed into the tail, severing two hydraulic  systems and the elevator jackscrew, leaving the plane uncontrollable.|1525
4   (passengers:2  crew:2)|Sikorsky S-76|?|May 31, 2013|4   (passengers:2  crew:2)|?|0|Moosonee, Ontario|Ornge Air Ambulance|?|Moosonee- Attawapiskat|The air ambulance helicopter crashed 0.7 miles from its departure point. The pilot, copilot and two paramedics were killed. The helicopter was headed to Attawapiskat to pick up a patient.|1211
20   (passengers:15  crew:5)|MI 172 V5 helicopter|?|June 25, 2013|20   (passengers:15  crew:5)|?|0|Gaurikund, near Kedarnath, Uttarakhand State, India.|Indian Air Force|?|From Gauchar airstrip|Crashed during flood relief operations. The passengers were from paramilitary forces.|?
307   (passengers:291  crew:16)|Boeing B-777-28EER|29171/553|July 06, 2013|3   (passengers:3  crew:0)|214|0|San Francisco, California|Asiana Airlines|HL7742|Shanghai - Seoul - San Francisco|The aircraft crash landed short of the runway while on approach to runway 28L at San Francisco International Airport. The tail section, landing gear, and both engines separated from the fuselage and a fire erupted. Debris was scattered from the ocean front to the runway to where the aircraft came to rest. The plane's voice and flight data recorders show that the aircraft was coming in too slow and too low and that the pilots appear to have increased speed seven seconds before impact. A stall warning sounded four seconds before the crash, and the crew then made an internal decision "to initiate a go-around 1.5 seconds to impact.Two passengers were killed and 182 injured. One passenger was run over by one of the emergency vehicles. The crew's failure to monitor and maintain the plane's airspeed, and its failure to abort the landing when in trouble. The pilot and co-pilot reasonably believed the automatic throttle would keep the plane flying fast enough to land safely, when in fact the auto throttle was effectively shut off after the pilot idled it to correct an unexplained climb earlier in the landing. The flight crew over-relied on automated systems that they did not fully understand.|1138
10   (passengers:9  crew:1)|de Havilland Canada DHC-3T|280|July 07, 2013|10   (passengers:9  crew:1)|?|0|Soldotna, Alaksa|Rediske Air|N93PC|Soldotna - Bear Lodge|As soon as the plane took off speed began to decline until the plane stalled and crashed.  The probable cause of the crash was the operator’s failure to account for about 420 additional pounds of unspecified cargo, which led to loading and operating the de Havilland DHC3 Otter outside its weight and center-of-gravity limits leading to an aerodynamic stall.|1120
6   (passengers:0  crew:6)|Antonov An-12|?|August 09, 2013|4   (passengers:0  crew:4)|?|0|Mogadishu, Somalia|Military - Ethiopian Air Force|?|Dire Dawa - Mogadishu|The cargo plane crashed on the runway and caught fire while attempting to land at Mofadisu International Airport.|0800
2   (passengers:0  crew:2)|Airbus A300F-622R|841|August 14, 2013|2   (passengers:0  crew:2)|1354|0|Birmingham, Alabama|United Parcel Service|N155UP|Louisville - Birmingham|The cargo plane was on approach when it struck trees, crashed and burst into flames. The flight crew’s failure to properly configure and verify the flight management computer for the profile approach. The captain’s failure to communicate his intentions to the first officer once it became apparent the vertical profile was not captured.|0449
20   (passengers:13  crew:7)|Embraer 120RT Brasilia|120174|October 03, 2013|16   (passengers:11  crew:5)|361|0|Lagos, Nigeria|Associated Aviation|5N-BJY|Lagos - Akure|The chartered plane crashed minutes after taking off from Murtala Muhammad International Airport.The aircraft lost height, after departing runwal 18L, impacted trees, a brick wall and caught fire. The decision of the crew to continue the take-off despite the abnormal No. 2 Propeller rpm indication. Low altitude stall as a result of low thrust at start of roll for take-off from No. 2 engine caused by an undetermined malfunction of the propeller control unit.|0932
16   (passengers:14  crew:2)|de Havilland Canada DHC-6 Twin Otter 310|804|October 10, 2013|2   (passengers:1  crew:1)|3002|0|Kudat, Malaysia|MASwings|9M-MDM|Kota - Kudat|While attempting to land, the Twin Otter struck a house located to the right of runway 22. The nose section was destroyed and the right wing broke off. The co-pilot and one passenger were killed. Procedural errors by the captain.|1450
49   (passengers:44  crew:5)|ATR-72-50|1071|October 16, 2013|49   (passengers:44  crew:5)|301|0|Near Pakse, Laos|Lao Airlines|RDPL-34233|Vientiane - Pakse|The aircraft crashed into the Mekong River 5 miles from Paskse, while on approach to land and after attempting a go-around. The fuselage broke in two and sank into the river. The weather was poor at the time of the accident, with the tail end of Hurricane Nari affecting the area.  A sudden change in weather conditions and the flight crew's failure to properly execute procedure have been identified as the probable causes of the crash. The flight crew's minima of 600 feet was lower than the published minima of 990 feet and the incorrect height of 645 feet as published in the JEPPESEN Chart at that time.After aborting the aircraft's approach at an altitude of around 595 feet, the flight crew executed a right turn instead of a nominal climb as dictated by the airport's VOR/DME missed approach procedure.|1610
18   (passengers:16  crew:2)|Swearingen SA227-AC Metro III|AC-721B|November 03, 2013|8   (passengers:8  crew:0)|?|0|Riberalta, Bolivia|Aerocon|CP-275|Trinidad, Bolivia - Riberalta, Bolivia|While landing in heavy rain, the aircraft veered off the runway, caught fire after hitting some brush and came to rest inverted.|1600
21   (passengers:13  crew:8)|Mil- Mi-17B-5|?|November 09, 2013|13   (passengers:7  crew:6)|?|0|Pujungan, Malinau district, Borneo|Military - Indonesian Army|?|Tarakan - Malinau|After losing power, the helicopter crashed into dense jungle and burst into flames. It was carrying construction materials, 8 military personnel and 13 civilian construction workers. Two military personnel and 6 passengers survived.|1030
7   (passengers:5  crew:2)|Swearingen SA227-AC Metro II|AC785B|November 10, 2013|5   (passengers:3  crew:2)|?|0|Red Lake, Ontario, Canada|Bearskin Airlines|C-FFZN|Sioux Lookout - Red Lake|The aircraft was on approach to runway 26, in light snow, when it crashed and burned in the surrounding forest. Three of the five passengers and the two pilots were killed.  A first-stage turbine wheel blade in the left engine failed due to a combination of metallurgical issues and stator vane burn-through.|1834
50   (passengers:44  crew:6)|Boeing 737-53A|24785/1882|November 17, 2013|50   (passengers:44  crew:6)|363|0|Near Kazan, Russia|Tararstan Airlilnes|VQ-BBN|Moscow - Kastan|The airliner went into a nearly vertical dive and crashed onto the runway and disintegrated, after attempting to land a second time. The aircraft hit the runway and burst into flames. The pilot in command, in executing a go-around, apparently placed the plane in an excessive nose high attitude, stalling the plane. Inexperienced crew, poor flight safety standards at the Tatarstan air company and lack of proper control over crew training.|1920
3   (passengers:2  crew:1)|Eurocopter EC135 T2|0546|November 29, 2013|3   (passengers:2  crew:1)|?|5|Glasgow Scotland|Bond Air Services Ltd.|G-SPAO|?|The police helicopter crashed into the roof of the Clutha Pub in central Glasgow killing at least 5 patrons along with 3 aboard he helicopter. The helicopter was carrying a civilian pilot and two Strathclyde police officers.|2025
33   (passengers:27  crew:6)|Embraer ERJ-190AR|19000581|November 29, 2013|33   (passengers:27  crew:6)|470|0|Bwabwata National Park, Nambia|Mozambique Airline|C9-EMC|Maputo, Mozambique - Luanda, Angola|The airliner crashed into Bwabwata National Park while en route to Luanda. The plane was found completely burned out with no survivors. The plane went missing in bad weather and poor visibility. The inputs to the auto flight systems by the person believed to be the Captain, who remained alone on the flight deck when the person believed to be the co-pilot requested to go to the lavatory, caused the aircraft to departure from cruise flight to a sustained controlled descent and subsequent collision with the terrain.|1330
5   (passengers:3  crew:2)|Britten Norman BN-2A-3 Islander|314|December 05, 2013|5   (passengers:3  crew:2)|?|0|Near Cachimbo, Brazil|Heringer Taxi Aero|PT-WMY|Pukanu - Novo Progresso|While performing an ambulance flight, the aircraft crashed under unknown circumstances in a wooded area killing 3 passengers and 2 pilots.|?
9   (passengers:3  crew:6)|Antonov 12|3341509|December 26, 2013|9   (passengers:3  crew:6)|?|0|Irkutsk, Russia|IrAvia|12162|Novosibirsk - Ikustsk|The cargo plane, carrying spare parts, crashed into a military army arsenal at Ikustsk-2 Airport while attempting to land. The crew of 6 and 3 technicians were all killed.|2139
7   (passengers:5  crew:2)|Britten Norman BN-2A-27 Islander|822|January 20, 2014|2   (passengers:1  crew:1)|?|0|Near Petreasa Romania|Scoala Superioara de Aviatie Civla|YR-BNP|Bucharest - Oradea|The air ambulance left Bucharest with a medical team to obtain transplant organs. After experiencing problems with the engines the pilot attempted to make an emergency landing but crashed on a hillside in deep snow. All aboard initially survived but the pilot and a medical student died before the rescue party reached the aircraft.|1634
77   (passengers:73  crew:4)|Lockheed C-130H-30 Hercules|4919|February 11, 2014|76   (passengers:72  crew:4)|?|0|Near Ain Kercha, Algeria|Military - Algerian Air Force|7T-WHM|Tamanarasset - Constatine|The military transport crashed into a mountainous region approximaely 30 miles southeast of Constatine Airport. Unfavorable weather conditions and storms accompanied by snow were reported in the area. The aircraft was too low on approach and hit the slope of mount Djebel Ta Fertas.|1159
18   (passengers:15  crew:3)|de Havilland Canada DHC-6 Twin Otter 300|302|February 16, 2014|18   (passengers:15  crew:3)|183|0|Sandhikhark, Nepal|Nepal Airlines|9N-ABB|Kathmandu - Pokhara - Jumla|The passenger plane crashed into a snow covered mountain and burst into flames while en route from Pokhara to Jamia. Weather was poor at the time of the accident. The PIC lost situation awareness while cruising in IMC, causing the aircraft to collide with terrain.|1315
11   (passengers:6  crew:5)|Antonov 26|11809|February 21, 2014|11   (passengers:6  crew:5)|?|0|Grombalia, Tunisia|Libyan Air Cargo|5A-DOW|Tripoli - Tunis|The aircraft, carrying a medical team with three patients, was destroyed when it crashed in a field, 20 miles from Tunis-Carthage Airport. The pilot reported an engine on fire prior to the accident.|0145
